21.00881408601384, 105.80231245554802	bay-buffet-167-hoang-ngan-trai-nghiem-kinh-hoang-voi-fan-cuong-hai-san								bay-buffet-167-hoang-ngan-trai-nghiem-kinh-hoang-voi-fan-cuong-hai-san,21.00881408601384, 105.80231245554802													#VALUE!
20.975622593240658, 105.77580952486237	artemis-20-ngo-quyen-co-phai-lua-chon-sang-suot-cho-fan-banh-ngot								artemis-20-ngo-quyen-co-phai-lua-chon-sang-suot-cho-fan-banh-ngot,20.975622593240658, 105.77580952486237													
21.024329586005504, 105.8458424402055	vi-lai-quan-do-an-khong-tho-mong-nhu-khong-gian-tien-canh								vi-lai-quan-do-an-khong-tho-mong-nhu-khong-gian-tien-canh,21.024329586005504, 105.8458424402055													#VALUE!
21.018610015973525, 105.79296316904104	goc-phi-mom-com-tam-cay-dua-104-trung-kinh								goc-phi-mom-com-tam-cay-dua-104-trung-kinh,21.018610015973525, 105.79296316904104													
21.022994600693856, 105.80118694020541	goc-che-bo-ne-ong-hai-181-chua-lang								goc-che-bo-ne-ong-hai-181-chua-lang,21.022994600693856, 105.80118694020541													#VALUE!
0.000000, 0.000000	mien-chua-cay-trung-khanh-co-thuc-su-ngon-nhu-loi-don								mien-chua-cay-trung-khanh-co-thuc-su-ngon-nhu-loi-don,0.000000, 0.000000													
20.97377601804326, 105.78634900951957	chim-quay-sieu-ngon								chim-quay-sieu-ngon,20.97377601804326, 105.78634900951957													#VALUE!
21.030644528524974, 105.81842319787687	kem-xoi-gia-truyen-ha-noi-289-kim-ma-ba-dinh-ha-noi								kem-xoi-gia-truyen-ha-noi-289-kim-ma-ba-dinh-ha-noi,21.030644528524974, 105.81842319787687													
21.030746756842618, 105.84669741136989	cafe-nghia-17-hang-da-hang-bong-hoan-kiem								cafe-nghia-17-hang-da-hang-bong-hoan-kiem,21.030746756842618, 105.84669741136989													
0.000000, 0.000000	choco-pie-vi-tra-xanh-va-vi-chuoi								choco-pie-vi-tra-xanh-va-vi-chuoi,0.000000, 0.000000													
21.018661400987313, 105.79267345554807	banh-tart-trung-ngon-nhu-kfc-ma-gia-bang-1-4								banh-tart-trung-ngon-nhu-kfc-ma-gia-bang-1-4,21.018661400987313, 105.79267345554807													
0.000000, 0.000000	banh-sua-chua-ong-gia								banh-sua-chua-ong-gia,0.000000, 0.000000													
21.053843011217914, 105.80905781137004	banh-ran-man-vong-thi-ngo-242-lac-long-quan-tay-ho								banh-ran-man-vong-thi-ngo-242-lac-long-quan-tay-ho,21.053843011217914, 105.80905781137004													
21.042145999396396, 105.84777345554828	banh-cuon-ba-xuan-16-doc-hoe-nhai								banh-cuon-ba-xuan-16-doc-hoe-nhai,21.042145999396396, 105.84777345554828													
21.0123562168168, 105.81340159787673	bun-cha-vien-ngon-quen-sau								bun-cha-vien-ngon-quen-sau,21.0123562168168, 105.81340159787673													
20.995615002546792, 105.8603375402052	banh-duc-nong-ngon-bo-re-296-minh-khai								banh-duc-nong-ngon-bo-re-296-minh-khai,20.995615002546792, 105.8603375402052													
21.016662980238273, 105.78427565739784	vua-an-steak-than-thanh-vua-ngam-thanh-pho-ve-dem								vua-an-steak-than-thanh-vua-ngam-thanh-pho-ve-dem,21.016662980238273, 105.78427565739784													
21.016719531338904, 105.7957581978767	lau-nuong-ngo-100-trung-kinh-ngon-bo-re								lau-nuong-ngo-100-trung-kinh-ngon-bo-re,21.016719531338904, 105.7957581978767													
21.016719531338918, 105.7957581978767	khen-nuc-no-quan-nuoc-via-he-cuoi-ngo-100-trung-kinh								khen-nuc-no-quan-nuoc-via-he-cuoi-ngo-100-trung-kinh,21.016719531338918, 105.7957581978767													
21.028101943385405, 105.83943054020547	king-bingsu-59-nguyen-khuyen-nong-40-do-thi-phe-te-nguoi								king-bingsu-59-nguyen-khuyen-nong-40-do-thi-phe-te-nguoi,21.028101943385405, 105.83943054020547													
21.010603663618458, 105.83183271136966	canteen-ngo-4c-dang-van-ngu								canteen-ngo-4c-dang-van-ngu,21.010603663618458, 105.83183271136966													
21.040881912968196, 105.82793746904129	banh-cuon-nong-29-thuy-khue								banh-cuon-nong-29-thuy-khue,21.040881912968196, 105.82793746904129													
21.003827033942557, 105.82997554020524	mot-goc-hoai-niem-cu-xa-ca-phe								mot-goc-hoai-niem-cu-xa-ca-phe,21.003827033942557, 105.82997554020524													
21.019304, 105.828570	banh-canh-ghe-69-69-o-cho-dua								banh-canh-ghe-69-69-o-cho-dua,21.019304, 105.828570													
21.034088, 105.770082	fenghuang-21-le-duc-tho-lau-199k								fenghuang-21-le-duc-tho-lau-199k,21.034088, 105.770082													
21.033065, 105.852257	skyline-hanoi-do-uong-khong-gian-10-diem								skyline-hanoi-do-uong-khong-gian-10-diem,21.033065, 105.852257													
21.016817, 105.836155	cacao-trung-cafe-ruspott-ngo-360-xa-dan								cacao-trung-cafe-ruspott-ngo-360-xa-dan,21.016817, 105.836155													
21.018840, 105.811500	thich-hoai-co-va-yen-tinh-thi-den-voi-hien-cafe-nhe								thich-hoai-co-va-yen-tinh-thi-den-voi-hien-cafe-nhe,21.018840, 105.811500													
21.033460, 105.854472	cafe-trung-giang-100-diem-chat-luong								cafe-trung-giang-100-diem-chat-luong,21.033460, 105.854472													
21.006937, 105.792457	banh-ngot-big-c-thang-long-them-dia-diem-moi-de-tu-tap								banh-ngot-big-c-thang-long-them-dia-diem-moi-de-tu-tap,21.006937, 105.792457													
21.023781, 105.816968	vua-nham-nhi-ly-cafe-vua-tan-huong-khong-gian-ha-noi-day-hoai-co								vua-nham-nhi-ly-cafe-vua-tan-huong-khong-gian-ha-noi-day-hoai-co,21.023781, 105.816968													
21.006226, 105.795118	paiks-kitchen-them-mot-dia-chi-moi-cho-nhung-ai-me-do-han								paiks-kitchen-them-mot-dia-chi-moi-cho-nhung-ai-me-do-han,21.006226, 105.795118													
20.965612, 105.773110	don-noel-tai-home-coffee-and-ceramic								don-noel-tai-home-coffee-and-ceramic,20.965612, 105.773110													
21.070660, 105.822461	capella-coffee-roaster-view-thang-ho-tay-bao								capella-coffee-roaster-view-thang-ho-tay-bao,21.070660, 105.822461													
