41;,;"""boc-phot-lau-nuong-gat-gu-29-nguyen-khanh-toan""";boc-phot-lau-nuong-gat-gu-29-nguyen-khanh-toan;;;;;;;;;42;,;21.018240921095266, 105.8499263690411;gumiho-grill-shabu-buffet-nuong-ngon-re-chat-luong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;,;"""gumiho-grill-shabu-buffet-nuong-ngon-re-chat-luong""";gumiho-grill-shabu-buffet-nuong-ngon-re-chat-luong;;;;;;;;;43;,;21.03148450011877, 105.78994276904109;vit-rut-xuong-minh-thu-sieu-ngon-so-337-duong-truong-cong-giai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;,;"""vit-rut-xuong-minh-thu-sieu-ngon-so-337-duong-truong-cong-giai""";vit-rut-xuong-minh-thu-sieu-ngon-so-337-duong-truong-cong-giai;;;;;;;;;44;,;21.035735110507083, 105.76136964205533;goi-y-dia-diemdong-ho-moi-buffet-nabeyaki-ham-nghi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;,;"""goi-y-dia-diemdong-ho-moi-buffet-nabeyaki-ham-nghi""";goi-y-dia-diemdong-ho-moi-buffet-nabeyaki-ham-nghi;;;;;;;;;45;,;21.014350086010865, 105.85078806904107;vit-quay-to-thi-60-mai-hac-de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;,;"""vit-quay-to-thi-60-mai-hac-de""";vit-quay-to-thi-60-mai-hac-de;;;;;;;;;46;,;21.0054321258572, 105.82389002050745;mipec-tay-son-thien-duong-do-han-do-ngot-ma-cac-tin-do-khong-nen-bo-qua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;,;"""mipec-tay-son-thien-duong-do-han-do-ngot-ma-cac-tin-do-khong-nen-bo-qua""";mipec-tay-son-thien-duong-do-han-do-ngot-ma-cac-tin-do-khong-nen-bo-qua;;;;;;;;;47;,;21.01922504577554, 105.82779284020535;buffet-nuong-yukassam-66-o-cho%cc%a3-dua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;,;"""buffet-nuong-yukassam-66-o-cho%cc%a3-dua""";buffet-nuong-yukassam-66-o-cho%cc%a3-dua;;;;;;;;;48;,;20.99972238601883, 105.82835215554793;poseidon-su-lua-chon-hoan-hao-cua-tin-do-me-hai-san;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;,;"""poseidon-su-lua-chon-hoan-hao-cua-tin-do-me-hai-san""";poseidon-su-lua-chon-hoan-hao-cua-tin-do-me-hai-san;;;;;;;;;49;,;21.016096746617706, 105.79472601321947;nuong-ven-ao-ngo-100-trung-kinh-8-10-diem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;,;"""nuong-ven-ao-ngo-100-trung-kinh-8-10-diem""";nuong-ven-ao-ngo-100-trung-kinh-8-10-diem;;;;;;;;;50;,;20.95373762470991, 107.08640674020475;khuc-bach-sumo-co-ngon-nhu-loi-don;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;,;"""khuc-bach-sumo-co-ngon-nhu-loi-don""";khuc-bach-sumo-co-ngon-nhu-loi-don;;;;;;;;;51;,;21.036882999753043, 105.851476397877;long-ran-ngon-nhat-28-nguyen-sieu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;,;"""long-ran-ngon-nhat-28-nguyen-sieu""";long-ran-ngon-nhat-28-nguyen-sieu;;;;;;;;;52;,;21.01962781583616, 105.80010036904117;buffe-thit-nuong-200k;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;,;"""buffe-thit-nuong-200k""";buffe-thit-nuong-200k;;;;;;;;;53;,;20.998627334992236, 105.84752214020524;danh-xung-bun-cha-obama-co-xung-dang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;,;"""danh-xung-bun-cha-obama-co-xung-dang""";danh-xung-bun-cha-obama-co-xung-dang;;;;;;;;;54;,;20.977490803772124, 105.78759614020505;dinh-nuong-36-nguyen-khuyen-ha-dong-dang-that-vong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;,;"""dinh-nuong-36-nguyen-khuyen-ha-dong-dang-that-vong""";dinh-nuong-36-nguyen-khuyen-ha-dong-dang-that-vong;;;;;;;;;55;,;21.034955027653588, 105.85397474020566;banh-mi-duc-long-so-4-luong-ngoc-quyen-dep-nhieu-ma-chua-chac-ngon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;,;"""banh-mi-duc-long-so-4-luong-ngoc-quyen-dep-nhieu-ma-chua-chac-ngon""";banh-mi-duc-long-so-4-luong-ngoc-quyen-dep-nhieu-ma-chua-chac-ngon;;;;;;;;;56;,;21.015499031585367, 105.85152226904101;that-vong-chat-luong-banh-kem-mesa-bakery-pho-hue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
